Date : 2025-01-16 01:56:08
Directory : c:\Users\wadan\Desktop\SGA\Portfolio\Unreal\Project\UE_PUBG\Source\UE_PUBG
Total : 139 files,  1670 codes, 349 comments, 730 blanks, all 2749 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        139 |      1,670 |        349 |        730 |      2,749 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        139 |      1,670 |        349 |        730 |      2,749 |
| AI                                                                                                                                            |         12 |        339 |         47 |        161 |        547 |
| AI (Files)                                                                                                                                    |          4 |        182 |         10 |         71 |        263 |
| AI\Service                                                                                                                                    |          6 |         90 |         18 |         59 |        167 |
| AI\Task                                                                                                                                       |          2 |         67 |         19 |         31 |        117 |
| AI\Task\CombatTask                                                                                                                            |          2 |         67 |         19 |         31 |        117 |
| Airplane                                                                                                                                      |          1 |          0 |         -3 |          0 |         -3 |
| Character                                                                                                                                     |         36 |        166 |         89 |         90 |        345 |
| Character (Files)                                                                                                                             |         13 |        -67 |        -36 |        -24 |       -127 |
| Character\Component                                                                                                                           |         23 |        233 |        125 |        114 |        472 |
| HUD                                                                                                                                           |          9 |         69 |          5 |         33 |        107 |
| InvenUI                                                                                                                                       |         38 |        190 |         95 |        171 |        456 |
| InvenUI (Files)                                                                                                                               |          2 |         10 |          5 |          9 |         24 |
| InvenUI\BasicItemSlot                                                                                                                         |         24 |        120 |         60 |        108 |        288 |
| InvenUI\BasicItemSlot (Files)                                                                                                                 |          2 |         10 |          5 |          9 |         24 |
| InvenUI\BasicItemSlot\EquipmentSlot                                                                                                           |         10 |         50 |         25 |         45 |        120 |
| InvenUI\BasicItemSlot\WeaponSlot                                                                                                              |         12 |         60 |         30 |         54 |        144 |
| InvenUI\BasicItemSlot\WeaponSlot (Files)                                                                                                      |          6 |         30 |         15 |         27 |         72 |
| InvenUI\BasicItemSlot\WeaponSlot\GunSlot                                                                                                      |          6 |         30 |         15 |         27 |         72 |
| InvenUI\ItemBar                                                                                                                               |          2 |         10 |          5 |          9 |         24 |
| InvenUI\Panel                                                                                                                                 |         10 |         50 |         25 |         45 |        120 |
| InvenUI\Panel (Files)                                                                                                                         |          2 |         10 |          5 |          9 |         24 |
| InvenUI\Panel\ItemPanel                                                                                                                       |          8 |         40 |         20 |         36 |         96 |
| InvenUI\Panel\ItemPanel (Files)                                                                                                               |          6 |         30 |         15 |         27 |         72 |
| InvenUI\Panel\ItemPanel\EquipmentPanel                                                                                                        |          2 |         10 |          5 |          9 |         24 |
| InvenUserInterface                                                                                                                            |          5 |         58 |          1 |         10 |         69 |
| Item                                                                                                                                          |         34 |        771 |         95 |        235 |      1,101 |
| Item (Files)                                                                                                                                  |          2 |        117 |        -23 |         14 |        108 |
| Item\Attachment                                                                                                                               |          1 |         -1 |          1 |          0 |          0 |
| Item\ConsumableItem                                                                                                                           |          8 |        128 |         18 |         54 |        200 |
| Item\ConsumableItem (Files)                                                                                                                   |          3 |        108 |         18 |         44 |        170 |
| Item\ConsumableItem\Boosting                                                                                                                  |          2 |          8 |          0 |          5 |         13 |
| Item\ConsumableItem\Healing                                                                                                                   |          3 |         12 |          0 |          5 |         17 |
| Item\Equipment                                                                                                                                |          6 |         51 |         38 |         22 |        111 |
| Item\ItemBullet                                                                                                                               |          2 |        109 |         10 |         29 |        148 |
| Item\Weapon                                                                                                                                   |         15 |        367 |         51 |        116 |        534 |
| Item\Weapon (Files)                                                                                                                           |          2 |        148 |         18 |         47 |        213 |
| Item\Weapon\Gun                                                                                                                               |          5 |         92 |          2 |         19 |        113 |
| Item\Weapon\MeleeWeapon                                                                                                                       |          1 |          2 |          0 |          0 |          2 |
| Item\Weapon\ThrowingWeapon                                                                                                                    |          6 |        132 |         24 |         50 |        206 |
| Item\Weapon\WeaponStrategy                                                                                                                    |          1 |         -7 |          7 |          0 |          0 |
| Singleton                                                                                                                                     |          2 |         72 |         20 |         28 |        120 |
| Utility                                                                                                                                       |          2 |          5 |          0 |          2 |          7 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                      | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
